MaDH,MaKH,MaCH,MaNV,NgayMua,TrangThai
DH00437,KH0152,CH04,NV015,2025-08-01,Đang giao
DH00438,KH0248,CH03,NV003,2024-05-25,Hoàn thành
DH00439,KH0111,CH01,NV006,2025-06-28,Đang giao
DH00440,KH0188,CH04,NV005,2025-12-23,Hoàn thành
DH00441,KH0038,CH04,NV010,2025-01-10,Hoàn thành
DH00442,KH0164,CH02,NV006,2025-09-24,Đã hủy
DH00443,KH0218,CH04,NV005,16/07/2024,Đã hủy
DH00444,KH0012,CH01,NV012,2024-09-30,Đang giao
DH00445,KH0039,CH01,NV005,2024-11-11,Đã hủy
DH00446,KH0096,CH02,NV019,28/01/2026,Hoàn thành
DH00447,KH0280,CH04,NV003,2025-09-13,Đã hủy
DH00448,KH0206,CH03,NV006,17/02/2025,Đã hủy
DH00449,KH0092,CH01,NV014,2025-07-26,Hoàn thành
DH00450,KH0179,CH01,NV010,2024-06-10,Hoàn thành
DH00451,KH0238,CH03,NV005,2025-07-26,Hoàn thành
DH00452,KH0008,CH02,NV004,2025-01-25,Hoàn thành
DH00453,KH0054,CH03,NV020,2025-04-09,Đang giao
DH00454,KH0071,CH03,NV018,2025-03-01,Đã hủy
DH00455,KH0138,CH04,NV003,20/08/2025,Hoàn thành
DH00456,KH0186,CH04,NV014,2025-06-07,Hoàn thành
DH00457,KH0029,CH04,NV017,2024-07-26,Đã hủy
DH00458,KH0159,CH02,NV003,28/04/2024,Hoàn thành
DH00459,KH0184,CH03,NV014,2024-11-15,Đang giao
DH00460,KH0268,CH02,NV006,06/06/2024,Hoàn thành
DH00461,KH0194,CH03,NV004,2024-06-27,Đã hủy
DH00462,KH0104,CH02,NV015,2025-09-02,Đã hủy
DH00463,KH0208,CH01,NV013,2024-09-03,Đang giao
DH00464,KH0111,CH02,NV004,2025-06-06,Hoàn thành
DH00465,KH0281,CH02,NV015,07/01/2025,Hoàn thành
DH00466,KH0272,CH02,NV004,2024-09-19,Đã hủy
DH00467,KH0211,CH02,NV016,2024-08-06,Hoàn thành
DH00468,KH0229,CH03,NV005,2025-05-08,Đang giao
DH00469,KH0177,CH03,NV007,2024-05-10,Đang giao
DH00470,KH0265,CH01,NV008,2025-01-31,Đã hủy
DH00471,KH0261,CH04,NV010,2025-06-17,Hoàn thành
DH00472,KH0136,CH03,NV018,07/03/2026,Hoàn thành
DH00473,KH0065,CH03,NV007,2025-10-07,Hoàn thành
DH00474,KH0001,CH02,NV017,2024-05-09,Hoàn thành
DH00475,KH0134,CH03,NV008,2025-11-01,Đang giao
DH00476,KH0040,CH03,NV006,2024-08-04,Đã hủy
DH00477,KH0112,CH02,NV007,2026-04-11,Đã hủy
DH00478,KH0039,CH03,NV003,2025-03-30,Đã hủy
DH00479,KH0279,CH03,NV003,17/12/2024,Đã hủy
DH00480,KH0281,CH04,NV007,2026-04-09,Hoàn thành
DH00481,KH0216,CH01,NV004,2025-12-09,Đã hủy
DH00482,KH0257,CH01,NV009,2024-08-03,Đang giao
DH00483,KH0075,CH04,NV005,2024-05-28,Đã hủy
DH00484,KH0030,CH03,NV011,16/12/2025,Đang giao
DH00485,KH0151,CH03,NV005,2024-06-14,Đang giao
DH00486,KH0208,CH04,NV016,2024-05-28,Đã hủy
DH00487,KH0226,CH01,NV013,2025-06-23,Hoàn thành
DH00488,KH0137,CH04,NV019,2024-12-16,Đã hủy
DH00489,KH0176,CH01,NV015,2025-06-21,Đã hủy
DH00490,KH0208,CH02,NV019,2025-10-31,Đã hủy
DH00491,KH0022,CH03,NV006,23/06/2024,Đang giao
DH00492,KH0070,CH01,NV010,2025-04-25,Hoàn thành
DH00493,KH0195,CH04,NV013,2025-03-26,Đã hủy
DH00494,KH0011,CH03,NV018,09/05/2024,Hoàn thành
DH00495,KH0275,CH04,NV016,2025-11-20,Hoàn thành
DH00496,KH0244,CH02,NV020,13/08/2024,Đã hủy
DH00497,KH0211,CH02,NV010,2026-01-30,Đang giao
DH00498,KH0136,CH01,NV012,2026-03-27,Đã hủy
DH00499,KH0025,CH02,NV006,2024-11-19,Hoàn thành
DH00500,KH0050,CH01,NV006,2024-12-12,Đang giao
DH00501,KH0070,CH02,NV005,25/04/2026,Đang giao
DH00502,KH0242,CH02,NV014,2025-04-18,Đã hủy
DH00503,KH0118,CH01,NV005,2024-07-01,Đã hủy
DH00504,KH0206,CH01,NV013,2026-04-20,Hoàn thành
DH00505,KH0146,CH02,NV015,2025-01-04,Đã hủy
DH00506,KH0251,CH01,NV012,2025-08-18,Đã hủy
DH00507,KH0150,CH04,NV003,2026-01-06,Đã hủy
DH00508,KH0261,CH01,NV017,18/05/2025,Đang giao
DH00509,KH0048,CH02,NV014,2024-07-20,Hoàn thành
DH00510,KH0118,CH04,NV018,06/07/2025,Đã hủy
DH00511,KH0253,CH04,NV007,2025-11-13,Đã hủy
DH00512,KH0176,CH03,NV004,2025-01-21,Đang giao
DH00513,KH0096,CH03,NV008,29/10/2025,Đã hủy
DH00514,KH0014,CH03,NV016,2025-07-07,Đang giao
DH00515,KH0099,CH01,NV012,2025-10-11,Đã hủy
DH00516,KH0274,CH04,NV017,2025-05-01,Đang giao
DH00517,KH0282,CH04,NV003,2025-03-24,Đang giao
DH00518,KH0092,CH01,NV017,2025-07-21,Đang giao
DH00519,KH0195,CH02,NV007,2025-05-23,Đã hủy
DH00520,KH0281,CH01,NV016,2025-11-26,Đang giao
DH00521,KH0101,CH04,NV018,2024-11-23,Đang giao
DH00522,KH0050,CH01,NV018,06/01/2025,Đang giao
DH00523,KH0243,CH04,NV011,2024-08-10,Đã hủy
DH00524,KH0014,CH03,NV018,2024-12-08,Đang giao
DH00525,KH0286,CH02,NV016,2025-11-27,Hoàn thành
DH00526,KH0112,CH04,NV005,2025-12-10,Hoàn thành
DH00527,KH0100,CH03,NV018,2025-05-24,Đã hủy
DH00528,KH0232,CH04,NV011,2025-08-25,Đã hủy
DH00529,KH0084,CH03,NV016,18/03/2026,Đã hủy
DH00530,KH0042,CH02,NV014,2024-05-19,Đã hủy
DH00531,KH0109,CH02,NV005,2025-03-13,Hoàn thành
DH00532,KH0038,CH03,NV013,21/12/2025,Đã hủy
DH00533,KH0160,CH04,NV006,2025-02-07,Hoàn thành
DH00534,KH0287,CH03,NV012,2024-12-22,Đã hủy
DH00535,KH0264,CH02,NV006,2024-07-07,Đang giao
DH00536,KH0046,CH03,NV005,2025-03-25,Đã hủy
DH00537,KH0054,CH03,NV008,04/09/2025,Hoàn thành
DH00538,KH0288,CH01,NV020,02/09/2024,Đang giao
DH00539,KH0232,CH01,NV020,2024-06-17,Đang giao
DH00540,KH0182,CH01,NV019,2025-01-08,Đã hủy
DH00541,KH0111,CH02,NV019,2025-04-03,Đã hủy
DH00542,KH0056,CH01,NV017,2025-04-30,Hoàn thành
DH00543,KH0191,CH02,NV004,2025-12-17,Hoàn thành
DH00544,KH0148,CH02,NV004,2025-07-18,Đang giao
DH00545,KH0195,CH04,NV011,2024-09-15,Đã hủy
DH00546,KH0126,CH01,NV006,2025-11-07,Đã hủy
DH00547,KH0103,CH04,NV019,2024-09-23,Đã hủy
DH00548,KH0188,CH04,NV015,13/11/2025,Đã hủy
DH00549,KH0015,CH04,NV009,2024-05-27,Đang giao
DH00550,KH0238,CH01,NV009,2025-08-24,Đang giao
DH00551,KH0104,CH04,NV016,2024-12-31,Hoàn thành
DH00552,KH0233,CH04,NV008,2024-07-25,Hoàn thành
DH00553,KH0116,CH01,NV007,2026-02-25,Hoàn thành
DH00554,KH0017,CH04,NV015,2025-10-31,Đã hủy
DH00555,KH0128,CH01,NV011,2025-12-29,Hoàn thành
DH00556,KH0179,CH02,NV007,2024-05-13,Đã hủy
DH00557,KH0180,CH01,NV003,2026-01-14,Đang giao
DH00558,KH0080,CH04,NV003,2024-09-09,Đã hủy
DH00559,KH0084,CH04,NV005,2024-07-12,Đã hủy
DH00560,KH0179,CH02,NV009,2024-07-17,Hoàn thành
DH00561,KH0002,CH03,NV007,2025-05-13,Đã hủy
DH00562,KH0279,CH03,NV017,2025-11-06,Đã hủy
DH00563,KH0263,CH01,NV019,2024-11-23,Đang giao
DH00564,KH0258,CH03,NV014,2025-07-02,Đã hủy
DH00565,KH0279,CH04,NV005,2024-07-16,Đang giao
DH00566,KH0070,CH03,NV003,2025-03-21,Đã hủy
DH00567,KH0239,CH02,NV006,2025-05-27,Hoàn thành
DH00568,KH0221,CH03,NV011,2025-12-25,Đang giao
DH00569,KH0285,CH02,NV007,2025-11-04,Đã hủy
DH00570,KH0205,CH03,NV009,2025-03-29,Đang giao
DH00571,KH0005,CH03,NV015,2025-05-03,Hoàn thành
DH00572,KH0190,CH03,NV007,2025-04-15,Đã hủy
DH00573,KH0071,CH02,NV016,2026-03-18,Đang giao
DH00574,KH0137,CH04,NV003,2025-02-06,Hoàn thành
DH00575,KH0233,CH03,NV018,2025-11-02,Hoàn thành
DH00576,KH0188,CH03,NV010,10/09/2024,Đang giao
DH00577,KH0054,CH04,NV016,2025-08-25,Đã hủy
DH00578,KH0125,CH01,NV009,2026-02-14,Hoàn thành
DH00579,KH0186,CH02,NV014,2025-06-22,Đang giao
DH00580,KH0153,CH03,NV013,08/11/2025,Hoàn thành
DH00581,KH0171,CH04,NV017,2026-02-07,Đang giao
DH00582,KH0058,CH04,NV011,2024-05-19,Đã hủy
DH00583,KH0222,CH01,NV007,2024-07-05,Hoàn thành
DH00584,KH0124,CH01,NV013,2024-08-05,Đang giao
DH00585,KH0085,CH04,NV004,2024-06-01,Đã hủy
DH00586,KH0035,CH01,NV010,2024-12-20,Đang giao
DH00587,KH0085,CH01,NV004,17/02/2025,Hoàn thành
DH00588,KH0197,CH01,NV003,2024-11-15,Hoàn thành
DH00589,KH0269,CH04,NV012,20/09/2024,Đang giao
DH00590,KH0270,CH02,NV006,11/04/2026,Hoàn thành
DH00591,KH0159,CH04,NV006,2025-07-07,Đang giao
DH00592,KH0102,CH01,NV020,2024-10-22,Đang giao
DH00593,KH0090,CH01,NV015,2024-05-02,Đã hủy
DH00594,KH0063,CH03,NV006,28/08/2025,Đang giao
DH00595,KH0172,CH04,NV020,2025-07-31,Đã hủy
DH00596,KH0286,CH01,NV013,15/08/2024,Hoàn thành
DH00597,KH0184,CH01,NV016,2024-12-02,Đã hủy
DH00598,KH0261,CH02,NV017,2024-08-30,Đã hủy
DH00599,KH0295,CH04,NV018,21/11/2025,Đã hủy
DH00600,KH0216,CH01,NV009,2025-11-08,Hoàn thành
DH00601,KH0300,CH01,NV015,2025-07-05,Đã hủy
DH00602,KH0110,CH03,NV008,2025-03-06,Đã hủy
DH00603,KH0267,CH03,NV006,2026-02-03,Hoàn thành
DH00604,KH0070,CH03,NV013,2024-12-09,Đang giao
DH00605,KH0026,CH04,NV019,2024-05-29,Đã hủy
DH00606,KH0149,CH02,NV012,2025-06-14,Đang giao
DH00607,KH0019,CH04,NV016,2025-04-10,Đang giao
DH00608,KH0106,CH02,NV014,2025-08-11,Đã hủy
DH00609,KH0102,CH04,NV003,2025-09-09,Đang giao
DH00610,KH0271,CH01,NV015,2026-02-27,Hoàn thành
DH00611,KH0222,CH02,NV014,2024-04-29,Hoàn thành
DH00612,KH0026,CH02,NV010,2024-05-10,Đang giao
DH00613,KH0073,CH02,NV006,2025-09-15,Đang giao
DH00614,KH0262,CH01,NV007,2024-08-14,Hoàn thành
DH00615,KH0052,CH01,NV019,2025-08-08,Đã hủy
DH00616,KH0123,CH03,NV010,2026-04-06,Đã hủy
DH00617,KH0253,CH03,NV012,2024-11-15,Đang giao
DH00618,KH0007,CH01,NV013,2024-12-06,Đã hủy
DH00619,KH0125,CH04,NV015,2024-08-03,Hoàn thành
DH00620,KH0043,CH03,NV003,18/12/2024,Đã hủy
DH00621,KH0048,CH03,NV017,2025-04-25,Đang giao
DH00622,KH0254,CH04,NV013,2024-05-20,Đã hủy
DH00623,KH0227,CH04,NV012,2024-12-12,Đã hủy
DH00624,KH0276,CH02,NV015,2025-02-17,Hoàn thành
DH00625,KH0182,CH01,NV006,2025-11-07,Đang giao
DH00626,KH0002,CH02,NV013,2024-08-27,Hoàn thành
DH00627,KH0214,CH04,NV004,2024-05-02,Đã hủy
DH00628,KH0163,CH01,NV013,2024-08-19,Đã hủy
DH00629,KH0171,CH02,NV007,2025-05-31,Đã hủy
DH00630,KH0291,CH01,NV016,2024-06-01,Đang giao
DH00631,KH0115,CH01,NV019,2024-06-10,Hoàn thành
DH00632,KH0024,CH01,NV012,24/05/2025,Đang giao
DH00633,KH0279,CH02,NV006,2026-01-07,Đã hủy
DH00634,KH0043,CH03,NV007,2024-08-27,Hoàn thành
DH00635,KH0001,CH01,NV012,2024-09-09,Hoàn thành
DH00636,KH0083,CH04,NV019,2025-12-15,Hoàn thành
DH00637,KH0026,CH01,NV007,2025-06-06,Hoàn thành
DH00638,KH0091,CH01,NV003,2025-09-29,Đang giao
DH00639,KH0026,CH04,NV008,2025-08-27,Đã hủy
DH00640,KH0093,CH02,NV020,2025-12-27,Đang giao
DH00641,KH0134,CH02,NV019,2025-07-16,Đã hủy
DH00642,KH0236,CH03,NV006,24/10/2025,Hoàn thành
DH00643,KH0191,CH01,NV012,2026-01-22,Đang giao
DH00644,KH0125,CH01,NV008,2024-10-25,Đang giao
DH00645,KH0081,CH02,NV005,2024-06-19,Hoàn thành
DH00646,KH0165,CH02,NV005,15/12/2024,Đã hủy
DH00647,KH0271,CH02,NV004,2024-09-13,Đang giao
DH00648,KH0291,CH02,NV005,2025-04-23,Đang giao
DH00649,KH0116,CH01,NV014,2024-08-10,Đã hủy
DH00650,KH0248,CH01,NV006,10/12/2025,Đã hủy
DH00651,KH0012,CH02,NV007,30/05/2024,Đã hủy
DH00652,KH0021,CH03,NV005,2024-05-27,Đang giao
DH00653,KH0286,CH02,NV007,2025-06-07,Đang giao
DH00654,KH0021,CH01,NV018,07/08/2024,Đang giao
DH00655,KH0120,CH01,NV008,2026-04-05,Đã hủy
DH00656,KH0161,CH02,NV015,2025-01-23,Đã hủy
DH00657,KH0258,CH02,NV013,2025-11-27,Hoàn thành
DH00658,KH0158,CH04,NV009,2024-07-08,Đã hủy
DH00659,KH0006,CH02,NV008,2024-07-16,Hoàn thành
DH00660,KH0059,CH03,NV009,27/04/2024,Hoàn thành
DH00661,KH0017,CH01,NV003,2025-04-29,Đã hủy
DH00662,KH0092,CH02,NV015,2025-02-08,Đã hủy
DH00663,KH0265,CH03,NV012,2026-01-28,Đang giao
DH00664,KH0035,CH01,NV020,2024-06-03,Đang giao
DH00665,KH0091,CH02,NV009,2024-11-19,Hoàn thành
DH00666,KH0032,CH03,NV017,23/01/2026,Đã hủy
DH00667,KH0298,CH01,NV004,2025-03-23,Hoàn thành
DH00668,KH0257,CH01,NV013,2026-01-29,Đã hủy
DH00669,KH0185,CH01,NV003,2024-06-25,Đang giao
DH00670,KH0182,CH01,NV020,2026-03-12,Đã hủy
DH00671,KH0065,CH01,NV009,2025-04-27,Đã hủy
DH00672,KH0123,CH03,NV006,2024-10-17,Đang giao
DH00673,KH0042,CH02,NV010,2025-05-18,Đang giao
DH00674,KH0005,CH04,NV013,2024-12-03,Đã hủy
DH00675,KH0174,CH03,NV014,2024-11-08,Hoàn thành
DH00676,KH0287,CH04,NV007,2024-10-21,Hoàn thành
DH00677,KH0168,CH01,NV012,2025-02-18,Đang giao
DH00678,KH0250,CH01,NV008,2024-06-17,Đã hủy
DH00679,KH0011,CH01,NV017,2025-11-25,Đã hủy
DH00680,KH0140,CH03,NV013,2024-09-03,Hoàn thành
DH00681,KH0061,CH02,NV009,2024-05-15,Đang giao
DH00682,KH0030,CH01,NV019,2025-07-15,Đã hủy
DH00683,KH0258,CH03,NV008,2025-05-23,Hoàn thành
DH00684,KH0088,CH02,NV005,2025-07-21,Hoàn thành
DH00685,KH0252,CH04,NV008,01/11/2025,Hoàn thành
DH00686,KH0009,CH02,NV010,2025-11-08,Đã hủy
DH00687,KH0027,CH04,NV012,2025-04-20,Đã hủy
DH00688,KH0143,CH03,NV014,2024-11-28,Hoàn thành
DH00689,KH0236,CH03,NV012,13/05/2025,Hoàn thành
DH00690,KH0289,CH02,NV008,2025-06-11,Hoàn thành
DH00691,KH0092,CH03,NV008,23/07/2025,Đã hủy
DH00692,KH0103,CH01,NV007,2026-04-23,Đang giao
DH00693,KH0299,CH04,NV006,2024-06-11,Đã hủy
DH00694,KH0259,CH03,NV014,2024-09-02,Đang giao
DH00695,KH0174,CH03,NV011,2025-10-21,Đang giao
DH00696,KH0005,CH02,NV007,2025-09-17,Hoàn thành
DH00697,KH0137,CH04,NV004,2026-02-08,Đã hủy
DH00698,KH0114,CH02,NV007,2025-07-03,Đã hủy
DH00699,KH0178,CH02,NV009,2024-07-29,Hoàn thành
DH00700,KH0191,CH04,NV010,2024-11-07,Hoàn thành
DH00701,KH0040,CH04,NV003,2024-08-01,Đang giao
DH00702,KH0226,CH02,NV017,2025-09-08,Đã hủy
DH00703,KH0248,CH01,NV007,2024-07-26,Đã hủy
DH00704,KH0247,CH04,NV009,16/10/2024,Đã hủy
DH00705,KH0203,CH04,NV011,2024-06-20,Đã hủy
DH00706,KH0077,CH04,NV003,2024-05-18,Hoàn thành
DH00707,KH0049,CH02,NV007,2026-02-21,Đã hủy
DH00708,KH0118,CH01,NV019,2025-12-24,Đã hủy
DH00709,KH0026,CH02,NV005,2025-01-11,Hoàn thành
DH00710,KH0193,CH02,NV003,2025-02-04,Đã hủy
DH00711,KH0052,CH02,NV008,2025-07-22,Đang giao
DH00712,KH0233,CH01,NV003,2024-09-06,Đã hủy
DH00713,KH0014,CH03,NV006,27/09/2025,Đã hủy
DH00714,KH0260,CH03,NV017,2025-09-15,Đã hủy
DH00715,KH0022,CH02,NV011,2026-02-09,Đã hủy
DH00716,KH0097,CH04,NV007,2025-09-11,Đã hủy
DH00717,KH0072,CH02,NV003,24/01/2025,Đang giao
DH00718,KH0031,CH04,NV013,2024-06-20,Hoàn thành
DH00719,KH0103,CH02,NV012,2024-10-31,Đã hủy
DH00720,KH0196,CH01,NV005,02/01/2026,Hoàn thành
DH00721,KH0059,CH01,NV011,17/01/2025,Đang giao
DH00722,KH0079,CH04,NV008,20/09/2025,Hoàn thành
DH00723,KH0160,CH03,NV006,2025-06-28,Đang giao
DH00724,KH0130,CH01,NV014,2024-05-25,Đã hủy
DH00725,KH0282,CH01,NV012,2025-02-17,Đang giao
DH00726,KH0214,CH03,NV011,2026-04-24,Đã hủy
DH00727,KH0139,CH04,NV007,2025-07-21,Đang giao
DH00728,KH0098,CH01,NV017,2024-09-20,Đang giao
DH00729,KH0013,CH04,NV012,2024-10-11,Đã hủy
DH00730,KH0144,CH04,NV015,2025-01-21,Hoàn thành
DH00731,KH0214,CH02,NV005,2025-10-31,Đã hủy
DH00732,KH0061,CH04,NV005,2024-09-07,Hoàn thành
DH00733,KH0010,CH02,NV012,2025-10-26,Hoàn thành
DH00734,KH0191,CH04,NV014,2025-12-09,Đang giao
DH00735,KH0172,CH04,NV016,2026-01-24,Đã hủy
DH00736,KH0195,CH01,NV020,2025-02-07,Đã hủy
DH00737,KH0229,CH01,NV003,2026-04-06,Đã hủy
DH00738,KH0020,CH01,NV006,29/04/2025,Đã hủy
DH00739,KH0211,CH04,NV004,2026-03-03,Đã hủy
DH00740,KH0110,CH03,NV016,2026-03-22,Đã hủy
DH00741,KH0005,CH03,NV017,2025-07-15,Đã hủy
DH00742,KH0252,CH04,NV010,2024-07-20,Đang giao
DH00743,KH0211,CH02,NV003,2025-07-01,Đã hủy
DH00744,KH0221,CH01,NV004,2024-11-10,Hoàn thành
DH00745,KH0113,CH03,NV018,2025-11-30,Hoàn thành
DH00746,KH0038,CH02,NV007,2025-06-08,Đang giao
DH00747,KH0024,CH04,NV020,14/04/2026,Hoàn thành
DH00748,KH0040,CH01,NV019,2025-10-12,Hoàn thành
DH00749,KH0088,CH01,NV017,2025-02-22,Hoàn thành
DH00750,KH0038,CH03,NV008,22/05/2024,Hoàn thành
DH00751,KH0086,CH02,NV011,2025-05-27,Đang giao
DH00752,KH0118,CH01,NV014,2025-11-19,Đã hủy
DH00753,KH0111,CH01,NV004,2026-03-02,Đã hủy
DH00754,KH0211,CH03,NV015,2026-04-17,Đã hủy
DH00755,KH0242,CH02,NV017,02/04/2025,Đang giao
DH00756,KH0079,CH03,NV005,2024-07-09,Đã hủy
DH00757,KH0281,CH03,NV016,31/07/2025,Đã hủy
DH00758,KH0095,CH03,NV018,2025-10-03,Đã hủy
DH00759,KH0144,CH02,NV011,2024-09-13,Hoàn thành
DH00760,KH0042,CH02,NV007,2025-12-16,Hoàn thành
DH00761,KH0050,CH04,NV005,2024-12-25,Hoàn thành
DH00762,KH0158,CH03,NV015,2025-05-17,Đã hủy
DH00763,KH0296,CH04,NV010,2024-05-16,Đã hủy
DH00764,KH0204,CH03,NV010,2025-01-26,Đang giao
DH00765,KH0053,CH02,NV008,2025-03-29,Đã hủy
DH00766,KH0040,CH01,NV020,30/05/2025,Đang giao
DH00767,KH0050,CH01,NV010,2026-02-02,Hoàn thành
DH00768,KH0266,CH01,NV015,2025-01-30,Đang giao
DH00769,KH0193,CH03,NV009,2025-02-18,Đang giao
DH00770,KH0223,CH02,NV012,2025-03-27,Hoàn thành
DH00771,KH0032,CH03,NV005,2024-06-09,Đang giao
DH00772,KH0119,CH03,NV020,2024-07-26,Đã hủy
DH00773,KH0190,CH03,NV004,2026-04-01,Đã hủy
DH00774,KH0037,CH03,NV016,2024-08-08,Đã hủy
DH00775,KH0142,CH03,NV010,2026-03-27,Hoàn thành
DH00776,KH0127,CH02,NV003,2026-04-24,Đang giao
DH00777,KH0027,CH04,NV019,2026-01-12,Đã hủy
DH00778,KH0114,CH02,NV013,2025-02-15,Hoàn thành
DH00779,KH0264,CH04,NV016,2025-02-05,Đang giao
DH00780,KH0148,CH04,NV011,2025-03-06,Đã hủy
DH00781,KH0197,CH02,NV012,15/02/2026,Đang giao
DH00782,KH0267,CH01,NV017,2025-09-21,Hoàn thành
DH00783,KH0118,CH04,NV020,2024-12-04,Đang giao
DH00784,KH0192,CH02,NV020,2026-03-17,Hoàn thành
DH00785,KH0102,CH03,NV012,2024-12-20,Đang giao
DH00786,KH0276,CH02,NV009,2025-01-29,Hoàn thành
DH00787,KH0216,CH01,NV016,2025-10-10,Đang giao
DH00788,KH0176,CH02,NV018,2024-08-15,Hoàn thành
DH00789,KH0093,CH01,NV010,05/02/2026,Đã hủy
DH00790,KH0235,CH04,NV007,2024-05-03,Đã hủy
DH00791,KH0054,CH04,NV008,2024-12-07,Hoàn thành
DH00792,KH0286,CH02,NV020,2025-01-29,Đang giao
DH00793,KH0247,CH03,NV015,07/10/2024,Đang giao
DH00794,KH0050,CH03,NV013,2024-07-22,Hoàn thành
DH00795,KH0251,CH01,NV017,2024-11-01,Hoàn thành
DH00796,KH0168,CH04,NV011,2024-07-17,Đang giao
DH00797,KH0100,CH04,NV012,2024-12-28,Hoàn thành
DH00798,KH0130,CH03,NV014,2024-11-26,Hoàn thành
DH00799,KH0125,CH03,NV004,2026-02-27,Đang giao
DH00800,KH0007,CH04,NV012,12/02/2026,Hoàn thành
DH00801,KH0295,CH04,NV010,2025-06-19,Đang giao
DH00802,KH0185,CH02,NV008,12/09/2025,Đang giao
DH00803,KH0201,CH01,NV013,2026-04-09,Đang giao
DH00804,KH0135,CH04,NV016,2025-09-16,Hoàn thành
DH00805,KH0216,CH03,NV010,05/06/2024,Đang giao
DH00806,KH0007,CH04,NV004,2024-12-11,Hoàn thành
DH00807,KH0093,CH01,NV006,2024-09-03,Đang giao
DH00808,KH0137,CH01,NV016,2024-09-08,Hoàn thành
DH00809,KH0203,CH04,NV007,2025-01-09,Đã hủy
DH00810,KH0141,CH02,NV007,2025-01-17,Đã hủy
DH00811,KH0109,CH01,NV019,23/10/2024,Đang giao
DH00812,KH0054,CH01,NV005,2025-09-07,Đang giao
DH00813,KH0162,CH04,NV016,2025-06-09,Đã hủy
DH00814,KH0049,CH01,NV008,2024-10-17,Đang giao
DH00815,KH0183,CH01,NV016,27/10/2025,Đã hủy
DH00816,KH0214,CH04,NV016,2025-10-07,Đang giao
DH00817,KH0293,CH02,NV007,2025-06-24,Hoàn thành
DH00818,KH0069,CH01,NV019,2026-02-09,Hoàn thành
DH00819,KH0116,CH03,NV019,2025-06-16,Đã hủy
DH00820,KH0199,CH04,NV004,07/06/2025,Đang giao
DH00821,KH0032,CH02,NV018,2025-06-17,Đã hủy
DH00822,KH0248,CH04,NV006,2024-08-27,Đã hủy
DH00823,KH0146,CH04,NV018,2025-10-28,Đã hủy
DH00824,KH0134,CH03,NV015,2026-03-26,Đã hủy
DH00825,KH0063,CH02,NV009,24/01/2026,Đã hủy
DH00826,KH0180,CH03,NV019,2025-08-04,Đã hủy
DH00827,KH0060,CH02,NV009,2024-10-30,Hoàn thành
DH00828,KH0176,CH04,NV004,2025-05-05,Hoàn thành
DH00829,KH0130,CH02,NV009,2024-07-10,Đã hủy
DH00830,KH0054,CH04,NV006,2024-11-25,Đã hủy
DH00831,KH0156,CH02,NV011,07/02/2026,Hoàn thành
DH00832,KH0181,CH03,NV008,2024-08-29,Hoàn thành
DH00833,KH0146,CH02,NV004,2025-05-07,Đã hủy
DH00834,KH0062,CH04,NV016,2025-05-21,Đang giao
DH00835,KH0217,CH04,NV003,2024-12-29,Đã hủy
DH00836,KH0180,CH02,NV016,2024-09-22,Hoàn thành
DH00837,KH0254,CH02,NV011,29/04/2024,Hoàn thành
DH00838,KH0293,CH04,NV005,2025-07-06,Đang giao
DH00839,KH0227,CH01,NV016,2024-11-28,Hoàn thành
DH00840,KH0016,CH03,NV017,2024-10-17,Đang giao
DH00841,KH0213,CH02,NV004,31/01/2025,Hoàn thành
DH00842,KH0062,CH04,NV014,2026-04-20,Đã hủy
DH00843,KH0110,CH01,NV004,13/07/2025,Đang giao
DH00844,KH0186,CH02,NV014,03/03/2026,Đã hủy
DH00845,KH0129,CH03,NV006,2025-10-12,Đã hủy
DH00846,KH0147,CH03,NV020,2025-08-16,Đang giao
DH00847,KH0225,CH03,NV012,2024-07-28,Hoàn thành
DH00848,KH0280,CH01,NV017,2025-06-10,Hoàn thành
DH00849,KH0165,CH03,NV006,2025-09-21,Đang giao
DH00850,KH0195,CH04,NV020,17/04/2026,Hoàn thành
DH00851,KH0071,CH04,NV006,2024-06-04,Đang giao
DH00852,KH0260,CH03,NV008,2026-01-20,Hoàn thành
DH00853,KH0090,CH02,NV014,2025-06-03,Đang giao
DH00854,KH0176,CH01,NV017,2025-02-16,Đã hủy
DH00855,KH0129,CH01,NV018,2024-08-28,Đã hủy
DH00856,KH0274,CH02,NV015,22/09/2024,Đang giao
DH00857,KH0220,CH04,NV012,2025-09-24,Hoàn thành
DH00858,KH0291,CH01,NV017,17/03/2025,Đã hủy
DH00859,KH0109,CH02,NV005,24/09/2025,Đã hủy
DH00860,KH0236,CH02,NV007,2025-03-22,Đang giao
DH00861,KH0256,CH03,NV010,2024-12-16,Đã hủy
DH00862,KH0281,CH02,NV019,2024-08-12,Hoàn thành
DH00863,KH0066,CH04,NV003,01/10/2024,Hoàn thành
DH00864,KH0084,CH03,NV017,16/06/2025,Đang giao
DH00865,KH0205,CH02,NV014,12/12/2024,Đang giao
DH00866,KH0093,CH03,NV005,2024-09-18,Đang giao
DH00867,KH0285,CH02,NV018,2025-08-26,Hoàn thành
DH00868,KH0192,CH01,NV014,2025-05-16,Hoàn thành
DH00869,KH0225,CH03,NV011,2025-08-15,Hoàn thành
DH00870,KH0079,CH02,NV003,2024-12-01,Đã hủy
DH00871,KH0243,CH02,NV015,2026-02-01,Đã hủy
DH00872,KH0240,CH02,NV017,2025-01-15,Hoàn thành
